ÝLÇE;ALAN;OKUL ADI;2022;2023;2024;2025 Tahmin
ALTINDAÐ (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Mahir Ýz Anadolu Ýmam Hatip Lisesi;43.66;41.88;37.92;
ALTINDAÐ (MERKEZ);ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;Ýskitler Mesleki ve Teknik Anadolu Lisesi;57.6;50.83;37.95;
PURSAKLAR;ULAÞTIRMA HÝZMETLERÝ ALANI;Güzide Ülker Mesleki ve Teknik Anadolu Lisesi;40.56;39.5;39.18;
SÝNCAN (MERKEZ);ADALET ALANI;Þehit Erdal Koçak Mesleki ve Teknik Anadolu Lisesi;37.32;40.23;40.41;
ÇANKAYA (MERKEZ);HARÝTA-TAPU-KADASTRO ALANI;Tapu Kadastro Mesleki ve Teknik Anadolu Lisesi;37.37;39.37;40.94;
MAMAK (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Abidinpaþa Mesleki ve Teknik Anadolu Lisesi;36.69;43.24;43.19;
MAMAK (MERKEZ);BÝYOMEDÝKAL CÝHAZ TEKNOLOJÝLERÝ ALANI;Abidinpaþa Mesleki ve Teknik Anadolu Lisesi;36.69;43.24;43.71;
ALTINDAÐ (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Ulus Mesleki ve Teknik Anadolu Lisesi;51.73;48.64;44.54;
ALTINDAÐ (MERKEZ);ADALET ALANI;Ankara Mesleki ve Teknik Anadolu Lisesi;41.91;43.59;44.58;
KIZILCAHAMAM;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Zekeriya Yurdakul Anadolu Ýmam Hatip Lisesi;89.76;89.63;44.59;
GÖLBAÞI;AÝHL ÇOCUK GELÝÞÝMÝ VE EÐÝTÝMÝ PROGRAMI;Þehit Sebahattin Koçak Kýz Anadolu Ýmam Hatip Lisesi;49.14;42.97;44.66;
ÞEREFLÝKOÇHÝSAR;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þereflikoçhisar Anadolu Ýmam Hatip Lisesi;74.95;64.74;46.49;
AKYURT;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Muhammed Hamdi Yazýr Anadolu Ýmam Hatip Lisesi;97.82;0;46.57;
POLATLI;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Polatlý Anadolu Ýmam Hatip Lisesi;38.28;42.8;47.08;
YENÝMAHALLE (MERKEZ);GRAFÝK VE FOTOÐRAF ALANI;Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;47.09;
ÇANKAYA (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Balgat Mesleki ve Teknik Anadolu Lisesi;52.48;47.93;48.47;
GÖLBAÞI;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Gölbaþý Mesleki ve Teknik Anadolu Lisesi;52.18;51.13;49.65;
YENÝMAHALLE (MERKEZ);YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;50.99;
YENÝMAHALLE (MERKEZ);KÝMYA TEKNOLOJÝSÝ ALANI;Mehmet Rüþtü Uzel Mesleki ve Teknik Anadolu Lisesi;62.8;57.42;51.76;
KEÇÝÖREN (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Þehit Mehmet Karakaþoðlu Mesleki ve Teknik Anadolu Lisesi;52.26;49.93;52.5;
ALTINDAÐ (MERKEZ);YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);Atatürk Mesleki ve Teknik Anadolu Lisesi;55.43;56.25;54.43;
MAMAK (MERKEZ);YENÝLENEBÝLÝR ENERJÝ TEKNOLOJÝLERÝ ALANI;Ege Mesleki ve Teknik Anadolu Lisesi;0;52.63;54.85;
SÝNCAN (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI (SINAVLI);Baþkent OSB Mesleki ve Teknik Anadolu Lisesi;0;51.97;55.52;
AKYURT;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Akyurt Þükrü Acar Anadolu Ýmam Hatip Lisesi;33.51;87.47;56.28;
