İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
YENİMAHALLE (MERKEZ),Yenimahalle Şehit Mehmet Şengül Mesleki ve Teknik Anadolu Lisesi (Elekt.),26.03,22.25,19.85,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ÇUBUK,Çubuk Yıldırım Beyazıt Anadolu Lisesi,20.7,21.79,19.9,,ANADOLU LİSESİ,Anadolu Lisesi
ÇANKAYA (MERKEZ),Ümitköy Anadolu İmam Hatip Lisesi,37.25,22.73,19.94,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
SİNCAN (MERKEZ),Fatih Mesleki ve Teknik Anadolu Lisesi,26.53,23.18,20.4,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
KEÇİÖREN (MERKEZ),Keçiören İbn-i Sina Mesleki ve Teknik Anadolu Lisesi,18.97,21.13,20.99,,SAĞLIK HİZMETLERİ ALANI,Anadolu Teknik Programı
KEÇİÖREN (MERKEZ),Şehit Ahmet Özsoy Kız Anadolu İmam Hatip Lisesi,25.82,21.24,21.19,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Yenimahalle Şehit Mehmet Şengül Mesleki ve Teknik Anadolu Lisesi (Makine),32.54,25.79,21.35,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
PURSAKLAR,Pursaklar Anadolu İmam Hatip Lisesi,24.52,23.32,21.45,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ALTINDAĞ (MERKEZ),Ankara Kız Anadolu İmam Hatip Lisesi,32.31,25.92,22.58,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
GÜDÜL,Hasan Hüseyin Akdede Fen Lisesi,21.2,21.6,23.14,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
AKYURT,Yıldırım Beyazıt Anadolu Lisesi,23.47,25.64,23.21,,ANADOLU LİSESİ,Anadolu Lisesi
GÖLBAŞI,Şehit Sebahattin Koçak Kız Anadolu İmam Hatip Lisesi,49.14,42.97,23.34,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
MAMAK (MERKEZ),Mamak Anadolu İmam Hatip Lisesi,28.49,25.62,24.03,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ELMADAĞ,Gazi Şahin Anadolu Lisesi,25.77,24.13,25.6,,ANADOLU LİSESİ,Anadolu Lisesi
