İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,OKUL TÜRÜ,ALAN
ÇANKAYA (MERKEZ),Tapu Kadastro Mesleki ve Teknik Anadolu Lisesi,37.37,39.37,40.94,,Anadolu Teknik Programı,HARİTA-TAPU-KADASTRO ALANI
MAMAK (MERKEZ),Abidinpaşa Mesleki ve Teknik Anadolu Lisesi,36.69,43.24,43.19,,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI
MAMAK (MERKEZ),Abidinpaşa Mesleki ve Teknik Anadolu Lisesi,36.69,43.24,43.71,,Anadolu Teknik Programı,BİYOMEDİKAL CİHAZ TEKNOLOJİLERİ ALANI
ALTINDAĞ (MERKEZ),Ulus Mesleki ve Teknik Anadolu Lisesi,51.73,48.64,44.54,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
ALTINDAĞ (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,41.91,43.59,44.58,,Anadolu Teknik Programı,ADALET ALANI
KIZILCAHAMAM,Şehit Zekeriya Yurdakul Anadolu İmam Hatip Lisesi,89.76,89.63,44.59,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
GÖLBAŞI,Şehit Sebahattin Koçak Kız Anadolu İmam Hatip Lisesi,49.14,42.97,44.66,,Anadolu İmam Hatip Lisesi,AİHL ÇOCUK GELİŞİMİ VE EĞİTİMİ PROGRAMI
ŞEREFLİKOÇHİSAR,Şereflikoçhisar Anadolu İmam Hatip Lisesi,74.95,64.74,46.49,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
AKYURT,Muhammed Hamdi Yazır Anadolu İmam Hatip Lisesi,97.82,0.0,46.57,,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
POLATLI,Polatlı Anadolu İmam Hatip Lisesi,38.28,42.8,47.08,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,47.09,,Anadolu Teknik Programı,GRAFİK VE FOTOĞRAF ALANI
ÇANKAYA (MERKEZ),Balgat Mesleki ve Teknik Anadolu Lisesi,52.48,47.93,48.47,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
GÖLBAŞI,Gölbaşı Mesleki ve Teknik Anadolu Lisesi,52.18,51.13,49.65,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
