ÝLÇE;OKUL ADI;2022 Yüzdelik;2023 Yüzdelik;2024 Yüzdelik;2025 Tahmin ;TÜR;ALAN;;;;;;;;
SÝNCAN (MERKEZ);Sincan Anadolu Ýmam Hatip Lisesi;29.71;31.91;31.58;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Ostim Þehit Alper Zor Mesleki ve Teknik Anadolu Lisesi;40.81;35.24;31.88;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
KEÇÝÖREN (MERKEZ);Kanuni Mesleki ve Teknik Anadolu Lisesi;34.74;30.96;31.89;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
KIZILCAHAMAM;Bizim Anadolu Vakfý Gürcan Kýz Anadolu Ýmam Hatip Lisesi;0;0;32.01;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
SÝNCAN (MERKEZ);Þehit Özgür Can Ýnce Mesleki ve Teknik Anadolu Lisesi;41.24;38.2;33.42;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Özel Harekat Þehitleri Anadolu Ýmam Hatip Lisesi;53.26;41.14;33.87;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Anadolu Ýmam Hatip Lisesi;34.85;36.46;34.52;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
GÖLBAÞI;Uluslararasý Millî Ýrade Kýz Anadolu Ýmam Hatip Lisesi;66.01;42.89;34.89;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Demetevler Kýz Anadolu Ýmam Hatip Lisesi;26.32;33.95;34.99;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;38.06;34.97;35.18;;Anadolu Teknik Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;;;;;;;;
